ID;Hindi Synset ID;Sanskrit;Hindi;Assamiya;Oriya;Urdu;Kannada;Kashmiri;Gujarati;Tamil;Telugu;Punjabi;Bangla;Marathi;Malayalam;Sindhi
82;125;अनुरोध;अनुरोध;अनुरोध;अनुरोध;null;अनुरोध;null;अनुरोध;null;अनुरोधमु;null;अनुरोध;अनुरोध;null;अनुरोध
83;129;अनुवाद;अनुवाद;अनुवाद;अनुवाद;null;अनुवाद;अनुवाद;अनुवाद;अनुवादम्;अनुवादमु;अनुवाद;अनुवाद;अनुवाद;अनुवादम्;अनुवाद
84;1009;अनुशासन;अनुशासन;अनुशासन;अनुशासन;null;अनुशासन;अनुशासन;अनुशासन;null;अनुशासनमु;अनुशासन;अनुशासन;अनुशासन;अनुशासनम्;अनुशासन
85;12841;अनुष्ठान;अनुष्ठान;अनुष्ठान;अनुष्ठान;null;अनुष्ठान;अनुष्ठान;अनुष्ठान;अनुष्ठानम्;अनुष्ठानमु;null;अनुष्ठान;अनुष्ठान;null;null
86;138;अनुसंधान;अनुसंधान;अनुसंधान;अनुसंधान;null;अनुसंधान;null;अनुसंधान;अनुसंधानम्;अनुसंधानमु;अनुसंधान;अनुसंधान;अनुसंधान;अनुसंधानम्;अनुसंधान
87;1830;अन्न;अन्न;अन्न;अन्न;अन्न;अन्न;अन्न;अन्न;अन्नम्;अन्नमु;अन्न;अन्न;अन्न;अन्नम्;अन्न
88;1566;अन्यथा;अन्यथा;अन्यथा;अन्यथा;null;अन्यथा;अन्यथा;अन्यथा;null;अन्यथा;null;अन्यथा;अन्यथा;अन्यथा;अन्यथा
89;138;अन्वेषण;अन्वेषण;अन्वेषण;अन्वेषण;null;अन्वेषण;null;अन्वेषण;null;अन्वेषणमु;अन्वेषण;अन्वेषण;अन्वेषण;अन्वेषणम्;अन्वेषण
90;12338;अपकर्ष;अपकर्ष;अपकर्ष;अपकर्ष;null;अपकर्ष;null;अपकर्ष;null;अपकर्षमु;अपकर्ष;अपकर्ष;अपकर्ष;अपकर्षम्;null
91;171;अपराध;अपराध;अपराध;अपराध;null;अपराध;अपराध;अपराध;अबरादम्;अपराधमु;अपराध;अपराध;अपराध;अपराधम्;अपराध
92;20506;अपरिग्रह;अपरिग्रह;अपरिग्रह;अपरिग्रह;null;अपरिग्रह;null;अपरिग्रह;null;अपरिग्रहमु;null;अपरिग्रह;अपरिग्रह;अपरिग्रहम्;अपरिग्रह
93;3818;अपवर्ग;अपवर्ग;अपवर्ग;अपबर्ग;null;अपवर्ग;null;अपवर्ग;null;अपवर्गमु;null;अपवर्ग;अपवर्ग;अपवर्गम्;null
94;175;अपवाद;अपवाद;अपवाद;अपबाद;null;अपवाद;अपवाद;अपवाद;null;अपवादुमु;अपवाद;अपवाद;अपवाद;अपवादम्;अपवाद
95;2522;अपव्यय;अपव्यय;अपव्यय;अपव्यय;null;अपव्यय;null;अपव्यय;null;अपव्ययमु;null;अपव्यय;अपव्यय;अपव्ययम्;null
96;7889;अपहरण;अपहरण;अपहरण;अपहरण;null;अपहरण;अपहरण;अपहरण;null;अपहरणमु;अपहरण;अपहरण;अपहरण;अपहरणम्;अपहरण
97;2138;अपार;अपार;अपार;अपार;अपार;अपार;अपार;अपार;अबारम्;अपारमु;अपार;अपार;अपार;अपारम्;अपार
98;2788;अपूर्ण;अपूर्ण;अपूर्ण;अपूर्ण;null;अपूर्ण;अपूर्ण;अपूर्ण;null;अपूर्णमु;अपूर्ण;अपूर्ण;अपूर्ण;अपूर्णम्;अपूर्ण
99;2290;अपूर्व;अपूर्व;अपूर्व;अपूर्ब;null;अपूर्व;null;अपूर्व;अपूरूवम;अपूर्वमु;अपूर्व;अपूर्व;अपूर्व;अपूर्वम्;अपूर्व
100;36610;अबोध;अबोध;अबोध;अबोध;null;अबोध;null;अबोध;null;अबोधमु;अबोध;अबोध;अबोध;अबोधन्;अबोध
101;2964;अभय;अभय;अभय;अभय;null;अभय;अभय;अभय;अबयम्;अभयमु;अभय;अभय;अभय;अभयम्;अभय
102;1562;अभाव;अभाव;अभाव;अभाव;null;अभाव;अभाव;अभाव;अबावम्;अभावमु;अभाव;अभाव;अभाव;अभावम्;अभाव
103;3207;अभिजात;अभिजात;अभिजात;अभिजात;null;अभिजात;null;अभिजात;null;अभिजातुडु;null;अभिजात;अभिजात;अभिजातन्;अभिजात
104;98;अभिज्ञान;अभिज्ञान;null;अभिज्ञान;null;अभिज्ञान;null;अभिज्ञान;null;अभिज्ञानमु;null;अभिज्ञान;अभिज्ञान;अभिज्ञानम्;null
105;253;अभिधान;अभिधान;अभिधान;अभिधान;null;अभिधान;null;अभिधान;अबिदानम्;अभिधानमु;null;अभिधान;अभिधान;अभिधानम्;null
106;3632;अभिनंदन;अभिनंदन;अभिनंदन;अभिनंदन;null;अभिनंदन;अभिनंदन;अभिनंदन;null;अभिनंदनमु;अभिनंदन;अभिनंदन;अभिनंदन;अभिनंदनम्;अभिनंदन
107;2671;अभिनय;अभिनय;अभिनय;अभिनय;null;अभिनय;null;अभिनय;अभिनयम्;अभिनयमु;अभिनय;अभिनय;अभिनय;अभिनयम्;अभिनय
108;4192;अभिनेता;अभिनेता;अभिनेता;अभिनेता;null;अभिनेता;null;अभिनेता;null;अभिनेत;अभिनेता;अभिनेता;अभिनेता;अभिनेतावु;अभिनेता
109;2971;अभिप्राय;अभिप्राय;अभिप्राय;अभिप्राय;null;अभिप्राय;अभिप्राय;अभिप्राय;अबिप्पिरायम्;अभिप्रायमु;null;अभिप्राय;अभिप्राय;अभिप्रायम्;अभिप्राय
110;7511;अभिमत;अभिमत;अभिमत;अभिमत;null;अभिमत;null;अभिमत;अबिमदम्;अभिमतमु;null;अभिमत;अभिमत;अभिमतमु;null
111;9515;अभिमान;अभिमान;अभिमान;अभिमान;null;अभिमान;अभिमान;अभिमान;अभिमानम्;अभिमानमु;अभिमान;अभिमान;अभिमान;अभिमानम्;अभिमान
112;7753;अभियान;अभियान;null;अभिजान;null;null;null;अभिजान;null;अभिजानमु;null;अभिजान;अभिजान;null;null
113;2998;अभियोग;अभियोग;अभियोग;अभियोग;null;अभियोग;null;अभियोग;अबियोगम्;अभियोगमु;null;अभियोग;अभियोग;अभियोगम्;अभियोग
114;3030;अभिरुचि;अभिरुचि;अभिरुचि;अभिरुचि;null;अभिरुचि;null;अभिरुचि;अबिरूचि;अबिरुचि;null;अभिरुचि;अभिरुचि;अभिरुचि;null
115;2994;अभिलाषा;अभिलाषा;अभिलाषा;अभिलाषा;null;अभिलाषा;अभिलाषा;अभिलाषा;अभिलाशम्;अभिलाषा;अभिलाषा;अभिलाषा;अभिलाषा;अभिलाषा;अभिलाषा
116;3753;अभिव्यक्ति;अभिव्यक्ति;अभिव्यक्ति;अभिव्यक्ति;null;अभिव्यक्ति;null;अभिव्यक्ति;null;अभिव्यक्ति;null;अभिव्यक्ति;अभिव्यक्ति;अभिव्यक्ति;अभिव्यक्ति
117;22381;अभिषेक;अभिषेक;अभिषेक;अभिषेक;null;अभिषेक;अभिषेक;अभिषेक;अभिषेकम्;अभिषेकमु;null;अभिषेक;अभिषेक;अभिषेकम्;null
118;1348;अभीष्ट;अभीष्ट;अभीष्ट;अभीष्ट;null;अभीष्ट;अभीष्ट;अभीष्ट;अबीष्टम्;अभीष्टमु;null;अभीष्ट;अभीष्ट;अभीष्टम्;null
119;3015;अभ्यास;अभ्यास;अभ्यास;अभ्यास;null;अभ्यास;अभ्यास;अभ्यास;अप्पियाशम्;अभ्यासमु;अभ्यास;अभ्यास;अभ्यास;अभ्यासम्;अभ्यास
120;2136;अमर;अमर;अमर;अमर;अमर;अमर;अमर;अमर;अमर्र;अमरूनु;अमर;अमर;अमर;अमरन्;अमर
121;3170;अमृत;अमृत;अमृत;अमृत;अमृत;अमृत;अमृत;अमृत;अमिरूदम्;अमृतमु;अमृत;अमृत;अमृत;अमृतम्;अमृत
122;638;अम्ल;अम्ल;अम्ल;अम्ल;null;अम्ल;null;अम्ल;null;अम्लमु;अमल;अम्ल;अम्ल;अम्लम्;अम्ल
123;2988;अराजकता;अराजकता;अराजकता;अराजकता;null;अराजकत;null;अराजकता;null;अराजकत;अराजकता;अराजकता;अराजकता;अराजकता;अराजकता
124;2186;अरुण;अरुण;अरुण;अरुण;null;अरुण;null;अरुण;अरुणम्;अरुणम्;null;अरुण;अरुण;अरुण;अरुण
125;5514;अर्घ;अर्घ;अर्घ;अर्घ;null;अर्घ;अर्घ;अर्घ;अरूग्गियम्;अर्घम्;अर्घ;अर्घ;अर्घ;null;अर्घ
126;3046;अर्चना;अर्चना;अर्चन;अर्चना;null;अर्चन;null;अर्चना;अरूच्चनै;अर्चन;अर्चना;अर्चना;अर्चना;अर्चना;अर्चना
127;2971;अर्थ;अर्थ;अर्थ;अर्थ;अर्थ;अर्थ;अर्थ;अर्थ;अरूत्तम्;अर्थमु;अर्थ;अर्थ;अर्थ;अर्थम्;अर्थ
128;2686;अर्ध;अर्ध;अर्द्ध;अर्ध;null;अर्ध;अर्ध;अर्ध;अद्दर्दम्;अर्धमु;अर्ध;अर्ध;अर्ध;अर्ध;अर्ध
129;3057;अर्धांगिनी;अर्धांगिनी;अर्धांगिनी;अर्धांगिनी;null;अर्धांगिनी;अर्धांगिनी;अर्धांगिनी;null;अर्धांगिनी;अर्धांगिनी;अर्धांगिनी;अर्धांगिनी;अर्धांगिनी;अर्धांगिनी
130;25144;अर्पण;अर्पण;अर्पण;अर्पण;null;अर्पण;अर्पण;अर्पण;अर्प्पणम्;अर्पणमु;अर्पण;अर्पण;अर्पण;अर्पणम्;अर्पण
131;2688;अर्वाचीन;अर्वाचीन;अर्वाचीन;अर्बाचीन;null;अर्वाचीन;null;अर्वाचीन;null;अरावचीनमु;null;अर्वाचीन;अर्वाचीन;अर्वाचीन;null
132;2734;अर्हता;अर्हता;अर्हता;null;null;अर्हता;null;अर्हता;अरुहदै;अर्हता;null;अर्हता;अर्हता;अर्हता;null
133;3103;अवकाश;अवकाश;अवकाश;अवकाश;null;अवकाश;null;अवकाश;अवगाशम्;अवकाशमु;अवकाश;अवकाश;अवकाश;अवकाशम्;अवकाश
134;3162;अवज्ञा;अवज्ञा;अवज्ञा;अवज्ञा;null;अवज्ञा;null;अवज्ञा;null;अवज्ञ;null;अवज्ञा;अवज्ञा;अवज्ञा;अवज्ञा
135;6103;अवधि;अवधि;अवधि;अवधि;null;अवधि;null;अवधि;अवदि;अवधि;null;अवधि;अवधि;अवधि;अवधि
136;1954;अवयव;अवयव;अवयव;अवयव;null;अवयव;अवयव;अवयव;अवयवम्;अवयवमु;null;अवयव;अवयव;अवयवम्;null
137;155;अवर;अवर;अवर;अवर;null;अवर;null;अवर;null;अवरमु;null;अवर;null;null;null
138;2524;अवरोध;अवरोध;अवरोध;अवरोध;null;अवरोध;null;अवरोध;null;अवरोधमु;null;अवरोध;अवरोध;अवरोधम्;अवरोध
139;3150;अवश्य;अवश्य;अवश्य;अवश्य;null;अवश्य;अवश्य;अवश्य;अवशियम;अवश्यमु;अवश्य;अवश्य;अवश्य;अवश्यम्;अवश्य
140;20521;अवसर;अवसर;अवसर;अवसर;अवसर;अवसर;अवसर;अवसर;अवसरम्;अवसरमु;अवसर;अवसर;अवसर;अवसरम्;अवसर
141;5011;अवसाद;अवसाद;अवसाद;अवसाद;null;null;null;अवसाद;null;अवसादमु;null;अवसाद;अवसाद;अवसादम्;null
142;2343;अवसान;अवसान;अवसान;अवसान;null;अवसान;null;अवसान;null;अवसानमु;null;अवसान;अवसान;अवसानम्;null
143;652;अवस्था;अवस्था;अवस्था;अवस्था;null;अवस्थ;अवस्था;अवस्था;अवस्तै;अवस्थ;अवस्था;अवस्था;अवस्था;अवस्था;अवस्था
144;880;अविद्या;अविद्या;अविद्या;अबिद्या;null;अविद्य;अविद्या;अविद्या;null;अविद्या;अविद्या;अविद्या;अविद्या;अविद्या;अविद्या
145;1729;अशांत;अशांत;अशांत;अशांत;null;अशांत;अशांत;अशांत;null;अशांतमु;अशांत;अशांत;अशांत;अशांतन्;अशांत
146;2;अशुभ;अशुभ;अशुभ;अशुभ;null;अशुभ;अशुभ;अशुभ;अशुबम्;अशुभमु;अशुभ;अशुभ;अशुभ;अशुभम्;अशुभ
147;3186;अश्लील;अश्लील;अश्लील;अश्लील;null;अश्लील;null;अश्लील;null;अश्लीलमु;अश्लील;अश्लील;अश्लील;अश्लीलम्;अश्लील
148;2138;असीम;असीम;असीम;असीम;null;असीम;असीम;असीम;null;असीमितमु;असीम;असीम;असीम;असीमम्;असीम
149;3165;असुर;असुर;असुर;असुर;null;असुर;असुर;असुर;असुरन्;असुरुलु;असुर;असुर;असुर;असुरन्;असुर
